Test Number,newTime,newPathLength,dijkstraTime,dijkstraPathLength,bfsTime,bfsPathLength,dfsTime,dfsPathLength,astarTime,astarPathLength
189,8.20159912109375e-05,6,0.00010085105895996094,11,0,0,7.152557373046875e-06,7,0.0001049041748046875,6
190,4.887580871582031e-05,3,0.00022101402282714844,8,0,0,1.0967254638671875e-05,10,8.392333984375e-05,3
191,6.103515625e-05,4,0.0005099773406982422,9,0,0,6.413459777832031e-05,36,9.298324584960938e-05,4
192,6.103515625e-05,4,0.0004911422729492188,9,0,0,5.1975250244140625e-05,36,9.489059448242188e-05,4
193,3.695487976074219e-05,2,0.00025200843811035156,3,0,0,3.3855438232421875e-05,27,7.700920104980469e-05,2
194,8.511543273925781e-05,6,6.198883056640625e-05,7,0,0,2.384185791015625e-05,21,0.00010609626770019531,6
195,8.296966552734375e-05,6,7.796287536621094e-05,9,0,0,1.0013580322265625e-05,9,0.00011491775512695312,6
196,0.00012612342834472656,7,0.00026106834411621094,10,0,0,4.982948303222656e-05,33,0.00011610984802246094,7
197,3.790855407714844e-05,2,0.0006320476531982422,3,0,0,7.009506225585938e-05,44,7.796287536621094e-05,2
198,8.487701416015625e-05,6,0.000370025634765625,7,0,0,4.1961669921875e-05,30,0.00011682510375976562,6
199,4.696846008300781e-05,3,0.0002739429473876953,10,0,0,3.814697265625e-06,4,7.796287536621094e-05,3
200,6.103515625e-05,4,4.00543212890625e-05,5,0,0,3.0994415283203125e-05,25,9.107589721679688e-05,4
201,7.390975952148438e-05,5,0.0003781318664550781,12,0,0,5.9604644775390625e-06,6,0.00010204315185546875,5
202,6.008148193359375e-05,4,0.00011086463928222656,7,0,0,1.811981201171875e-05,17,9.298324584960938e-05,4
203,3.719329833984375e-05,2,0.0008459091186523438,3,0,0,7.915496826171875e-05,47,8.20159912109375e-05,2
204,8.416175842285156e-05,6,0.0008699893951416016,15,0,0,7.700920104980469e-05,47,0.00011587142944335938,6
205,0.00011110305786132812,8,0.0007979869842529297,9,0,0,8.296966552734375e-05,48,0.0001430511474609375,8
206,0.00011396408081054688,7,8.106231689453125e-05,8,0,0,2.193450927734375e-05,20,0.00012111663818359375,7
207,9.894371032714844e-05,6,0.0004248619079589844,9,0,0,5.1021575927734375e-05,36,0.00011515617370605469,6
208,6.508827209472656e-05,3,0.0005838871002197266,4,0,0,9.703636169433594e-05,46,8.0108642578125e-05,3
209,5.0067901611328125e-05,3,0.00032401084899902344,6,0,0,5.078315734863281e-05,35,8.487701416015625e-05,3
210,0.00013113021850585938,9,0.0001819133758544922,12,0,0,3.981590270996094e-05,30,0.00012612342834472656,9
211,7.414817810058594e-05,5,0.00011086463928222656,6,0,0,2.5987625122070312e-05,22,9.608268737792969e-05,5
212,7.605552673339844e-05,5,8.106231689453125e-05,6,0,0,1.1920928955078125e-05,12,9.989738464355469e-05,5
213,3.790855407714844e-05,2,0.00020384788513183594,3,0,0,4.0531158447265625e-06,3,8.0108642578125e-05,2
214,8.487701416015625e-05,6,0.0003731250762939453,7,0,0,5.1975250244140625e-05,35,0.00011205673217773438,6
215,8.296966552734375e-05,6,0.00022101402282714844,11,0,0,2.5987625122070312e-05,20,0.00011205673217773438,6
216,6.508827209472656e-05,3,7.200241088867188e-05,4,0,0,1.5974044799804688e-05,14,8.0108642578125e-05,3
217,9.799003601074219e-05,7,0.000125885009765625,8,0,0,1.9073486328125e-05,17,0.0001239776611328125,7
218,0.00010585784912109375,8,7.319450378417969e-05,9,0,0,7.867813110351562e-06,9,0.0001201629638671875,8
219,6.008148193359375e-05,4,0.0003750324249267578,11,0,0,6.389617919921875e-05,36,8.797645568847656e-05,4
220,6.198883056640625e-05,4,0.00018095970153808594,7,0,0,2.7894973754882812e-05,24,9.298324584960938e-05,4
